depth	MnO2	FeOOH	POC	FeS	FeS2	CaCO3	Age	BSi	NdnrPO4	NdrPO4	SurfMn_Ndnr	SurfMn_Ndr	SurfFe_Ndnr	SurfFe_Ndr	Illite	Basalt	O2	NO3	TMn	TFe	CH4	NO2	Ca	Al	TNH4	SO4	TNdnr	TNdr	TH4SiO4	TCO2	TH2S	TH3BO3	TH3PO4	H
0.004293226	0.013500903	0.05965355	3.816885346	3.0975E-56	1.70613E-05	0.17751424	0.021026661	2.601703794	9.05758E-05	4.64235E-05	3.83255E-06	1.96424E-06	1.10376E-05	5.65711E-06	0.194154665	0.128788197	7.89414E-05	3.98311E-05	4.39772E-08	7.96867E-08	1.44844E-16	6.218E-08	0.010332964	6.85634E-09	4.79852E-09	0.027999213	2.52966E-11	1.2965E-11	0.000195705	0.002385673	1.46724E-07	8.70651E-05	2.82248E-06	1.98641E-08
0.012988362	0.013494233	0.059656209	3.816612874	3.09889E-56	1.70628E-05	0.177303486	0.063557812	2.601204089	9.05838E-05	4.64276E-05	3.8238E-06	1.95976E-06	1.1038E-05	5.6573E-06	0.194160066	0.128747909	7.86537E-05	3.97851E-05	7.11066E-08	7.56021E-08	1.68934E-16	6.54991E-08	0.010333774	8.45662E-09	1.43992E-08	0.02799902	2.95939E-11	1.51676E-11	0.000197251	0.002387212	1.86672E-07	8.7066E-05	2.82859E-06	1.98407E-08
0.021903616	0.0134874	0.059658931	3.816334047	3.10153E-56	1.70643E-05	0.177088885	0.107090734	2.600693934	9.05919E-05	4.64317E-05	3.81484E-06	1.95516E-06	1.10384E-05	5.6575E-06	0.194165599	0.128706698	7.83592E-05	3.9738E-05	9.88732E-08	7.16581E-08	1.84148E-16	6.89063E-08	0.010334598	9.97166E-09	2.41268E-08	0.027998822	3.39295E-11	1.73898E-11	0.000198829	0.002388782	2.27656E-07	8.70669E-05	2.83484E-06	1.98175E-08
0.03104456	0.0134804	0.05966172	3.81604873	3.10558E-56	1.70659E-05	0.176870383	0.151647112	2.600173169	9.06003E-05	4.6436E-05	3.80565E-06	1.95046E-06	1.10388E-05	5.6577E-06	0.194171268	0.128664542	7.80576E-05	3.96896E-05	1.27306E-07	6.7856E-08	1.9395E-16	7.24037E-08	0.010335435	1.14017E-08	3.39811E-08	0.027998619	3.83028E-11	1.96313E-11	0.00020044	0.002390385	2.69703E-07	8.70678E-05	2.84125E-06	1.97944E-08
0.040416909	0.01347323	0.059664575	3.815756787	3.11119E-56	1.70675E-05	0.176647926	0.197249006	2.599641632	9.06088E-05	4.64404E-05	3.79624E-06	1.94563E-06	1.10392E-05	5.6579E-06	0.194177074	0.128621417	7.77488E-05	3.96399E-05	1.56436E-07	6.41967E-08	2.00507E-16	7.59934E-08	0.010336286	1.27464E-08	4.39617E-08	0.027998411	4.27128E-11	2.18917E-11	0.000202084	0.002392021	3.12843E-07	8.70686E-05	2.84781E-06	1.97714E-08
0.05002652	0.013465884	0.059667499	3.815458078	3.11853E-56	1.70692E-05	0.17642146	0.243918846	2.59909916	9.06176E-05	4.64449E-05	3.7866E-06	1.9407E-06	1.10396E-05	5.65811E-06	0.194183022	0.128577301	7.74327E-05	3.9589E-05	1.86297E-07	6.06809E-08	2.05156E-16	7.96773E-08	0.010337151	1.40051E-08	5.40686E-08	0.027998197	4.71588E-11	2.41705E-11	0.000203761	0.00239369	3.57106E-07	8.70695E-05	2.85453E-06	1.97486E-08
0.0598794	0.01345836	0.059670493	3.815152463	3.1278E-56	1.70708E-05	0.17619093	0.291679439	2.598545594	9.06266E-05	4.64495E-05	3.77673E-06	1.93563E-06	1.104E-05	5.65832E-06	0.194189115	0.128532172	7.7109E-05	3.95367E-05	2.16925E-07	5.7309E-08	2.0871E-16	8.34577E-08	0.01033803	1.51771E-08	6.43014E-08	0.027997978	5.16399E-11	2.64673E-11	0.000205473	0.002395394	4.02524E-07	8.70704E-05	2.8614E-06	1.97259E-08
0.069981706	0.013450652	0.059673559	3.814839798	3.13921E-56	1.70726E-05	0.175956281	0.340553968	2.597980774	9.06359E-05	4.64543E-05	3.76662E-06	1.93045E-06	1.10404E-05	5.65854E-06	0.194195354	0.128486005	7.67777E-05	3.9483E-05	2.48359E-07	5.40811E-08	2.11661E-16	8.73366E-08	0.010338923	1.6262E-08	7.46599E-08	0.027997753	5.61551E-11	2.87815E-11	0.00020722	0.002397132	4.49129E-07	8.70712E-05	2.86844E-06	1.97034E-08
0.080339753	0.013442757	0.059676699	3.814519939	3.15298E-56	1.70743E-05	0.175717459	0.390565988	2.597404543	9.06454E-05	4.64591E-05	3.75626E-06	1.92514E-06	1.10408E-05	5.65877E-06	0.194201745	0.128438778	7.64386E-05	3.94279E-05	2.80639E-07	5.09971E-08	2.14302E-16	9.13161E-08	0.010339831	1.72598E-08	8.51437E-08	0.027997522	6.07034E-11	3.11128E-11	0.000209001	0.002398907	4.96955E-07	8.70721E-05	2.87565E-06	1.96811E-08
0.090960016	0.013434668	0.059679915	3.814192738	3.16938E-56	1.70762E-05	0.175474409	0.441739434	2.596816742	9.06551E-05	4.64641E-05	3.74564E-06	1.9197E-06	1.10413E-05	5.65899E-06	0.194208288	0.128390468	7.60915E-05	3.93714E-05	3.1381E-07	4.80565E-08	2.16805E-16	9.53985E-08	0.010340753	1.81708E-08	9.57526E-08	0.027997284	6.52837E-11	3.34604E-11	0.000210818	0.002400718	5.46036E-07	8.70729E-05	2.88303E-06	1.9659E-08
