label,species_eq,stoichiometry,charge,role
RO2POC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RO2POC,O2,-1,0,reactant
RO2POC,H,-(rNC-rPC),+1,reactant
RO2POC,CO2,1,0,product
RO2POC,NH4,rNC,+1,product
RO2POC,H2PO4,rPC,-1,product
RO2POC,H2O,1,0,product
RNO2POC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RNO2POC,NO2,-4/3,-1,reactant
RNO2POC,H,-(4/3+rNC-rPC),+1,reactant
RNO2POC,CO2,1,0,product
RNO2POC,NH4,rNC,+1,product
RNO2POC,H2PO4,rPC,-1,product
RNO2POC,N2,2/3,0,product
RNO2POC,H2O,5/3,0,product
RNO3POC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RNO3POC,NO3,-2,-1,reactant
RNO3POC,H,-(rNC-rPC),+1,reactant
RNO3POC,CO2,1,0,product
RNO3POC,NH4,rNC,+1,product
RNO3POC,H2PO4,rPC,-1,product
RNO3POC,NO2,2,-1,product
RNO3POC,H2O,1,0,product
RMnO2POC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RMnO2POC,MnO2,-2,0,reactant
RMnO2POC,H,-(4+rNC-rPC),+1,reactant
RMnO2POC,CO2,1,0,product
RMnO2POC,NH4,rNC,+1,product
RMnO2POC,H2PO4,rPC,-1,product
RMnO2POC,Mn,2,+2,product
RMnO2POC,H2O,3,0,product
RFeOOHPOC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RFeOOHPOC,FeOOH,-4,0,reactant
RFeOOHPOC,H,-(8+rNC-rPC),+1,reactant
RFeOOHPOC,CO2,1,0,product
RFeOOHPOC,NH4,rNC,+1,product
RFeOOHPOC,H2PO4,rPC,-1,product
RFeOOHPOC,Fe,4,+2,product
RFeOOHPOC,H2O,7,0,product
RSO4POC,(CH2O)(NH3)[rNC](H3PO4)[rPC],-1,0,reactant
RSO4POC,SO4,-1/2,-2,reactant
RSO4POC,H,-(1+rNC-rPC),+1,reactant
RSO4POC,CO2,1,0,product
RSO4POC,NH4,rNC,+1,product
RSO4POC,H2PO4,rPC,-1,product
RSO4POC,H2S,1/2,0,product
