label,species_eq,stoichiometry,charge,role,species_modelled,codename,include,substance,substance_type,top_bc_type,bot_bc_type,order,species_type,reaction_type
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
Ndr_ligand,Ndr,-1,+3,reactant,"Ndr,Ndr{3+}/Ndr_free",,1,Ndr,dissolved,robin,neumann,25,dissolved,dissolved
