label,species_eq,stoichiometry,charge,role,species_modelled,codename,include,substance,substance_type,top_bc_type,bot_bc_type,order,species_type,reaction_type
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,OH,-1,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,OH,-2,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,HCO3,-1,-1,reactant,"TCO2,CO2,HCO3{-},CO3{2-}",,1,TCO2,dissolved_summed_pH,robin,neumann,28,dissolved_summed_pH,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,CO3,-1,-2,reactant,"TCO2,CO2,HCO3{-},CO3{2-}",,1,TCO2,dissolved_summed_pH,robin,neumann,28,dissolved_summed_pH,dissolved
Fe_ligand,FeCO3,1,0,product,FeCO3,,1,FeCO3,solid,robin,neumann,8,solid,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,CO3,-2,-2,reactant,"TCO2,CO2,HCO3{-},CO3{2-}",,1,TCO2,dissolved_summed_pH,robin,neumann,28,dissolved_summed_pH,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,HS,-1,-1,reactant,"TH2S,H2S,HS{-}",,1,TH2S,dissolved_summed_pH,robin,neumann,29,dissolved_summed_pH,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,SO4,-1,-2,reactant,"SO4,SO4{2-},HSO4{-}",,1,SO4,dissolved,robin,neumann,23,dissolved,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,Fe,-1,+2,reactant,"Fe,Fe{2+}/Fe_free,Surf_Fe{+}/Fe_ads",Fe_ads,1,Fe,dissolved_adsorbed,dirichlet,neumann,15,dissolved_adsorbed,dissolved
Fe_ligand,HS,-1,-1,reactant,"TH2S,H2S,HS{-}",,1,TH2S,dissolved_summed_pH,robin,neumann,29,dissolved_summed_pH,dissolved
Fe_ligand,FeS,1,0,product,FeS,,1,FeS,solid,robin,neumann,4,solid,dissolved
Fe_ligand,H,1,+1,product,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,OH,-1,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,OH,-2,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,OH,-3,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,OH,-4,-1,reactant,"H,H{+},OH{-}",,1,H,dissolved_summed_pH,robin,neumann,26,dissolved_summed_pH,dissolved
Al_ligand,Al,-1,+3,reactant,"Al,Al{3+}/Al_free",,1,Al,dissolved,robin,neumann,22,dissolved,dissolved
Al_ligand,CO3,-1,-2,reactant,"TCO2,CO2,HCO3{-},CO3{2-}",,1,TCO2,dissolved_summed_pH,robin,neumann,28,dissolved_summed_pH,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
Ndnr_ligand,CO3,-1,-2,reactant,"TCO2,CO2,HCO3{-},CO3{2-}",,1,TCO2,dissolved_summed_pH,robin,neumann,28,dissolved_summed_pH,dissolved
Ndnr_ligand,Ndnr,-1,+3,reactant,"Ndnr,Ndnr{3+}/Ndnr_free",,1,Ndnr,dissolved,robin,neumann,24,dissolved,dissolved
